"name","handedness","height","weight","avg","HR","avg_scaled","HR_scaled","distance","distance_pctrank"
"Ed Kirkpatrick","L",71,195,0.238,85,72.5609756097561,15.0976909413854,11.42349002416,13.6507936507937
"Jerry Grote","R",70,185,0.252,39,76.8292682926829,6.92717584369449,22.9905683574208,42.3913043478259
"Ellie Hendricks","L",73,175,0.22,62,67.0731707317073,11.01243339254,4.83477767572712,0.317460317460317
"Jim Beauchamp","R",74,190,0.231,14,70.4268292682927,2.4866785079929,17.3399554230609,21.7391304347827
"Terry Wilshusen","R",74,210,0,0,0,0,54.3765727865091,72.2826086956525
"Tito Fuentes","B",71,175,0.268,45,81.7073170731707,7.99289520426288,19.3280179426552,64.0776699029126
"Ron Brand","R",67,167,0.239,3,72.8658536585366,0.532859680284192,20.2771805736188,32.2010869565217
"Leo Cardenas","R",71,150,0.257,118,78.3536585365854,20.9591474245115,27.9269667940901,56.1141304347825
"Art Shamsky","L",73,168,0.253,68,77.1341463414634,12.0781527531083,14.9318486476933,27.3015873015873
"Steve Ellsworth","R",80,220,0,0,0,0,54.3765727865091,72.2826086956525
"Ron Cey","R",70,185,0.261,316,79.5731707317073,56.1278863232682,54.9548142886314,98.2336956521742
"Skip Jutze","R",71,190,0.215,3,65.5487804878049,0.532859680284192,13.6523806253918,10.4619565217391
"Butch Wynegar","B",73,190,0.255,65,77.7439024390244,11.5452930728242,16.3091050107243,55.3398058252427
"Ron LeFlore","R",72,200,0.288,59,87.8048780487805,10.4795737122558,34.0820297883355,65.4891304347827
"Bill Russell","R",72,175,0.263,46,80.1829268292683,8.17051509769094,26.3422709947134,53.2608695652172
"Gene Tenace","R",72,190,0.241,201,73.4756097560976,35.7015985790409,34.3052958516513,65.7608695652175
"Bubba Morton","R",70,175,0.267,14,81.4024390243902,2.4866785079929,28.019148388141,56.3858695652173
"Ellie Rodriguez","R",71,185,0.245,16,74.6951219512195,2.84191829484902,21.3761483604178,36.141304347826
"Darrel Chaney","B",74,188,0.217,14,66.1585365853659,2.4866785079929,4.86458028816535,2.9126213592233
"Dick Nen","L",74,200,0.224,21,68.2926829268293,3.73001776198934,8.61829916723891,5.07936507936508
"Bryan Kelly","R",74,195,0,0,0,0,54.3765727865091,72.2826086956525
